wetlands,streams,rivers,lakes,CSA
1107,1107,1107,1107,1128
1108,1108,1108,1108,1129
1109,1109,1109,1109,1232
1117,1117,1117,1117,1234
1118,1118,1118,1118,1235
1119,1119,1119,1121,1236
1121,1121,1121,1122,1241
1122,1122,1122,1123,1243
1123,1123,1123,1124,1470
1124,1124,1124,1125,1471
1125,1125,1125,1126,1523
1126,1126,1126,1127,1821
1127,1127,1127,1128,1831
1128,1128,1128,1129,1832
1129,1129,1129,1240,1835
1232,1232,1232,1351,1941
1234,1234,1234,1352,1942
1235,1235,1235,1353,1943
1236,1236,1236,1354,1944
1240,1240,1240,1527,1945
1241,1241,1241,1529,1946
1243,1243,1243,1665,
1247,1247,1247,1666,
1248,1248,1248,1668,
1249,1249,1249,1669,
1350,1350,1350,1676,
1351,1351,1351,1677,
1352,1352,1352,1678,
1353,1353,1353,1679,
1354,1354,1354,1715,
1355,1355,1355,1833,
1356,1356,1356,1834,
1357,1357,1357,1943,
1358,1358,1358,1955,
1359,1359,1359,1956,
1361,1361,1361,1958,
1362,1362,1362,1959,
1363,1363,1363,1968,
1364,1364,1364,,
1365,1365,1365,,
1366,1366,1366,,
1367,1367,1367,,
1368,1368,1368,,
1369,1369,1369,,
1470,1470,1470,,
1471,1471,1471,,
1472,1472,1472,,
1473,1473,1473,,
1474,1474,1474,,
1475,1475,1475,,
1476,1476,1476,,
1477,1477,1477,,
1478,1478,1478,,
1479,1479,1479,,
1483,1483,1483,,
1484,1484,1484,,
1485,1485,1485,,
1486,1486,1486,,
1487,1487,1487,,
1488,1488,1488,,
1489,1489,1489,,
1493,1493,1493,,
1494,1494,1494,,
1495,1495,1495,,
1496,1496,1496,,
1497,1497,1497,,
1498,1498,1498,,
1499,1499,1499,,
1511,1511,1511,,
1512,1512,1512,,
1513,1513,1513,,
1514,1514,1514,,
1515,1515,1515,,
1516,1516,1516,,
1517,1517,1517,,
1518,1518,1518,,
1519,1519,1519,,
1523,1523,1523,,
1524,1524,1524,,
1525,1525,1525,,
1526,1526,1526,,
1527,1527,1527,,
1528,1528,1528,,
1529,1529,1529,,
1534,1534,1534,,
1535,1535,1535,,
1536,1536,1536,,
1537,1537,1537,,
1538,1538,1538,,
1539,1539,1539,,
1545,1545,1545,,
1546,1546,1546,,
1547,1547,1547,,
1548,1548,1548,,
1549,1549,1549,,
1557,1557,1557,,
1558,1558,1558,,
1559,1559,1559,,
1665,1665,1665,,
1666,1666,1666,,
1667,1667,1667,,
1668,1668,1668,,
1669,1669,1669,,
1676,1676,1676,,
1677,1677,1677,,
1678,1678,1678,,
1679,1679,1679,,
1683,1683,1683,,
1684,1684,1684,,
1685,1685,1685,,
1686,1686,1686,,
1687,1687,1687,,
1688,1688,1688,,
1689,1689,1689,,
1705,1705,1705,,
1706,1706,1706,,
1707,1707,1707,,
1708,1708,1708,,
1709,1709,1709,,
1714,1714,1714,,
1715,1715,1715,,
1716,1716,1716,,
1717,1717,1717,,
1718,1718,1718,,
1719,1719,1719,,
1821,1821,1821,,
1822,1822,1822,,
1823,1823,1823,,
1824,1824,1824,,
1825,1825,1825,,
1826,1826,1826,,
1827,1827,1827,,
1828,1828,1828,,
1829,1829,1829,,
1831,1831,1831,,
1832,1832,1832,,
1833,1833,1833,,
1834,1834,1834,,
1835,1835,1835,,
1836,1836,1836,,
1837,1837,1837,,
1838,1838,1838,,
1839,1839,1839,,
1887,1887,1887,,
1888,1888,1888,,
1889,1889,1889,,
1941,1941,1941,,
1942,1942,1942,,
1943,1943,1943,,
1944,1944,1944,,
1945,1945,1945,,
1946,1946,1946,,
1947,1947,1947,,
1948,1948,1948,,
1949,1949,1949,,
1954,1954,1954,,
1955,1955,1955,,
1956,1956,1956,,
1957,1957,1957,,
1958,1958,1958,,
1959,1959,1959,,
1968,1968,1968,,
1969,1969,1969,,
1978,1978,1978,,
1979,1979,1979,,
