rivers,
1107,5.229854259
1108,7.159292661
1109,7.604315793
1117,5.689245572
1118,20.2723
1119,9.07543411
1121,14.6
1122,7.827117538
1123,5.986900842
1124,9.152620578
1125,15.7
1126,16
1127,9.974468816
1128,11.5775202
1129,12.21617498
1232,6.153388252
1234,6.653272139
1235,7.067049531
1236,8.64648126
1240,6.757942351
1241,7.473687717
1243,13.01370796
1247,13.77557806
1248,6.649282202
1249,14.11086718
1350,6.6010937
1351,6.40867844
1352,7.316913508
1353,7.991494814
1354,6.104374058
1355,7.646883916
1356,10.51132193
1357,6.040963247
1358,10.93920203
1359,11.00619513
1361,14.26037884
1362,5.937719217
1363,6.069974701
1364,6.286870051
1365,16.01669277
1366,5.261624864
1367,5.545738507
1368,4.624871971
1369,16.21638435
1470,5.905721833
1471,5.356394245
1472,6.466305131
1473,7.224887353
1474,8.481879463
1475,9.096211518
1476,5.295983432
1477,6.095543369
1478,9.71352644
1479,10.0275953
1483,4.865813771
1484,5.707777284
1485,4.550237601
1486,5.212271519
1487,5.195116969
1488,6.557693828
1489,8.574761417
1493,16.7121478
1494,3.906132356
1495,4.471372908
1496,17.49739023
1497,5.558829941
1498,4.592466627
1499,17.62634884
1511,7.450464671
1512,8.356415572
1513,9.022491823
1514,9.801696671
1515,10.11397866
1516,6.274572312
1517,7.597182616
1518,8.037421132
1519,11.7216522
1523,6.11292615
1524,6.887906183
1525,7.88312009
1526,6.332374951
1527,9.402431949
1528,6.098555539
1529,16
1534,7.521356244
1535,8.281318456
1536,5.991478482
1537,10.54322618
1538,10.78322229
1539,12.28239281
1545,6.062590713
1546,6.082178749
1547,7.945374317
1548,5.672607026
1549,6.916222821
1557,5.001552178
1558,7.753282292
1559,6.647022311
1665,5.432580063
1666,6.38578874
1667,35
1668,21.687
1669,9.0962
1676,6.699277362
1677,16
1678,4.766990016
1679,13.10694444
1683,6.567779223
1684,7.764475478
1685,6.037353632
1686,5.886254412
1687,9.033187441
1688,9.961059732
1689,10.77141509
1705,5.448755193
1706,5.037013185
1707,5.32926561
1708,4.948128831
1709,6.247190703
1714,7.121003623
1715,7.040180778
1716,6.435034109
1717,6.091342482
1718,7.496322409
1719,7.994220046
1821,7.36053313
1822,5.841595924
1823,20
1824,7.053455146
1825,9.063110402
1826,5.910530249
1827,7.130351042
1828,7.755741846
1829,11.19858864
1831,6.307107818
1832,5.506366061
1833,7.633427932
1834,7.992688393
1835,5.698806555
1836,6.509828855
1837,8.90975638
1838,9.481887374
1839,9.960711676
1887,5.204305107
1888,5.760452376
1889,6.875976063
1941,8.360618957
1942,8.804932041
1943,7.46860405
1944,6.523528757
1945,8.828569768
1946,6.63294728
1947,11.17063706
1948,11.52695499
1949,11.71500302
1954,4.835785863
1955,6.261325427
1956,6.402392391
1957,5.195506759
1958,5.676649693
1959,6.181836303
1968,5.250353578
1969,6.504898435
1978,6.576726779
1979,6.136756038
